2016 Federal Election Political Parties [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-07-12T16:07:26 Cycle:c5c795ba-9eff-443c-8653-570acac8265b Created:2016-07-12T16:03:56 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]
StateAb,PartyAb,RegisteredPartyAb,PartyNm
NSW,SPP,Sustainable Australia,#Sustainable Australia
VIC,AJP,AJP,Animal Justice Party
NSW,AFN,Australia First Party,Australia First Party (NSW) Incorporated
NT,FNPP,AFNPP,Australia's First Nations Political Party
NSW,AAPP,Antipaedophile Party,Australian Antipaedophile Party
WA,AUC,,Australian Christians
VIC,CYA,,Australian Country Party
NSW,CYC,,Australian Cyclists Party
VIC,ADVP,Veterans Party,Australian Defence Veterans Party
SA,DEM,Democrats,Australian Democrats
VIC,AEQ,Marriage Equality,Australian Equality Party (Marriage)
ACT,GRN,The Greens,Australian Greens
QLD,AIN,,Australian Independents
ACT,ALP,Australian Labor Party,Australian Labor Party (ACT Branch)
NSW,ALP,Labor,Australian Labor Party (N.S.W. Branch)
NT,ALP,A.L.P.,Australian Labor Party (Northern Territory) Branch
SA,ALP,Australian Labor Party,Australian Labor Party (South Australian Branch)
QLD,ALP,Australian Labor Party,Australian Labor Party (State of Queensland)
TAS,ALP,Australian Labor Party,Australian Labor Party (Tasmanian Branch)
VIC,ALP,Australian Labor Party,Australian Labor Party (Victorian Branch)
WA,ALP,Australian Labor Party,Australian Labor Party (Western Australian Branch)
VIC,ALA,ALA,Australian Liberty Alliance
QLD,AMEP,AMEP,Australian Motoring Enthusiast Party
NSW,AUP,The Progressives,Australian Progressives
SA,APP,,Australian Protectionist Party
TAS,ARF,,Australian Recreational Fishers Party
VIC,ASXP,ASXP,Australian Sex Party
VIC,ASXP,Sex Party,Australian Sex Party
QLD,SXHM,,Australian Sex Party/Marijuana (HEMP) Party
TAS,SXHM,,Australian Sex Party/Marijuana (HEMP) Party
WA,SPRT,Sports,Australian Sports Party
QLD,VCE,Australian Voice,Australian Voice Party
ACT,BTA,,Bullet Train For Australia
NSW,CDP,Christian Democratic Party,Christian Democratic Party (Fred Nile Group)
VIC,CEC,Citizens Electoral Council,Citizens Electoral Council of Australia
QLD,CRNT,,Consumer Rights & No-Tolls
NT,CLP,Country Liberals (NT),Country Liberals (Northern Territory)
NSW,CM,,CountryMinded
NSW,DLP,DLP Democratic Labour,Democratic Labour Party (DLP)
VIC,DHJP,Hinch,Derryn Hinch's Justice Party
VIC,DRF,Drug Law Reform,Drug Law Reform Australia
SA,FFP,Family First,Family First Party
QLD,GLT,,Glenn Lazarus Team
NSW,NMP,HAP,Health Australia Party
NSW,HMP,Marijuana (HEMP) Party,Help End Marijuana Prohibition (HEMP) Party
TAS,JLN,JLN,Jacqui Lambie Network
VIC,JMP,MFP,John Madigan's Manufacturing and Farming Party
QLD,KAP,,Katter's Australian Party
NSW,LPNP,,Liberal & Nationals
NSW,LDP,Liberal Democrats,Liberal Democratic Party
QLD,LNP,LNP,Liberal National Party of Queensland
WA,LP,Liberal,Liberal Party (W.A. Division) Inc
ACT,LP,Liberal,Liberal Party of Australia
SA,LP,Liberal,Liberal Party of Australia (S.A. Division)
VIC,LP,Liberal,Liberal Party of Australia (Victorian Division)
ACT,LP,Liberal,Liberal Party of Australia - ACT Division
TAS,LP,Liberal,Liberal Party of Australia - Tasmanian Division
NSW,LP,Liberal,"Liberal Party of Australia, NSW Division"
NAT,LPNP,,Liberal/Nationals
VIC,LPNP,,Liberal/The Nationals
NT,SXHM,,Marijuana (HEMP) Party/Australian Sex Party
SA,SXHM,,Marijuana (HEMP) Party/Australian Sex Party
WA,SXHM,,Marijuana (HEMP) Party/Australian Sex Party
QLD,MAP,Mature Australia,Mature Australia Party
ACT,NP,The Nationals,National Party of Australia
SA,NP,National Party,National Party of Australia (S.A.) Inc.
WA,NP,The Nationals,National Party of Australia (WA) Inc
NSW,NP,The Nationals,National Party of Australia - N.S.W.
VIC,NP,The Nationals,National Party of Australia - Victoria
SA,XEN,,Nick Xenophon Team
NSW,NCP,,Non-Custodial Parents Party (Equal Parenting)
NSW,SOL,,Online Direct Democracy - (Empowering the People!)
NSW,ODR,Stop The Greens,Outdoor Recreation Party (Stop The Greens)
QLD,PUP,,Palmer United Party
QLD,ON,,Pauline Hanson's One Nation
NSW,PIR,Pirate Party,Pirate Party Australia
QLD,GRN,The Greens,Queensland Greens
NSW,REP,,Renewable Energy Party
VIC,RUA,RUA,Rise Up Australia Party
NSW,FUT,,Science Party
VIC,FTCY,,Science Party / Cyclists Party
NAT,FTCY,,Science Party/Cyclists Party
NSW,FTCY,,Science Party/Cyclists Party
VIC,SPA,,Secular Party of Australia
NSW,SUN,SUPA,Seniors United Party of Australia
NAT,SXHM,,Sex Party/HEMP
NSW,ASP,"Shooters, Fishers and Farmers","Shooters, Fishers and Farmers Party"
NSW,SMK,Smokers Rights,Smokers Rights Party
NSW,SAL,,Socialist Alliance
NSW,SEP,,Socialist Equality Party
NSW,ARTS,TAP,The Arts Party
WA,GRN,The Greens (WA),The Greens (WA) Inc
QLD,UNP,,Uniting Australia Party
NSW,VEP,VEP,Voluntary Euthanasia Party
NSW,FLUX,Flux,VOTEFLUX.ORG | Upgrade Democracy!
