StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,101,Canberra,28189,BRODTMANN,Gai,1,N,Y,ALP,Australian Labor Party,48336,0,0,0,1622,49958,1.16
ACT,101,Canberra,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,16614,0,0,0,538,17152,1.47
ACT,101,Canberra,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,5059,0,0,0,291,5350,0.37
ACT,101,Canberra,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,43713,0,0,0,1910,45623,1.31
ACT,101,Canberra,999,Informal,Informal,999,N,N,,Informal,3308,0,0,0,58,3366,-1.08
ACT,102,Fenner,28190,LEIGH,Andrew Keith,1,N,Y,ALP,Australian Labor Party,50848,0,0,0,1617,52465,1.18
ACT,102,Fenner,28200,WOODMAN,Andrew,2,N,N,IND,Independent,4075,0,0,0,202,4277,3.75
ACT,102,Fenner,28983,GUNNING,Robert,3,N,N,LP,Liberal,34413,0,0,0,1515,35928,-0.21
ACT,102,Fenner,28320,SAEEDI,Carly,4,N,N,GRN,The Greens,16608,0,0,0,503,17111,1.25
ACT,102,Fenner,29372,BOHM,Tim,5,N,N,BTA,Bullet Train For Australia,4051,0,0,0,172,4223,-0.3
ACT,102,Fenner,999,Informal,Informal,999,N,N,,Informal,3062,0,0,0,52,3114,-1.15
NSW,103,Banks,28951,GAMBIAN,Chris,1,N,N,ALP,Labor,30436,1316,0,615,2139,34506,-0.01
NSW,103,Banks,29208,WU,Sharon,2,N,N,FFP,Family First,1231,99,0,48,137,1515,1.75
NSW,103,Banks,28649,CLARK,Philippa,3,N,N,GRN,The Greens,4230,315,0,143,290,4978,0.7
NSW,103,Banks,28660,COLEMAN,David,4,N,Y,LP,Liberal,33104,1192,0,701,3192,38189,-3.61
NSW,103,Banks,28639,BONDAR,Greg,5,N,N,CDP,Christian Democratic Party (Fred Nile Group),4126,131,0,71,291,4619,2.93
NSW,103,Banks,29097,BARNES,Roy Owen,6,N,N,AJP,Animal Justice Party,1212,89,0,30,159,1490,1.72
NSW,103,Banks,29327,SPANSWICK,Bob,7,N,N,IND,Independent,1035,79,0,35,122,1271,1.47
NSW,103,Banks,999,Informal,Informal,999,N,N,,Informal,6000,252,0,57,134,6443,-2.16
NSW,104,Barton,28057,TORKEL,Rasmus,1,N,N,IND,Independent,1771,68,0,29,110,1978,2.48
NSW,104,Barton,28636,VARVARIS,Nickolas,2,N,Y,LP,Liberal,25988,531,0,311,1666,28496,-2.51
NSW,104,Barton,28964,BURNEY,Linda,3,N,N,ALP,Labor,35584,655,0,347,1725,38311,4.47
NSW,104,Barton,28626,SUSILO,Sonny,4,N,N,CDP,Christian Democratic Party (Fred Nile Group),3163,74,0,33,158,3428,2.23
NSW,104,Barton,28632,HEBER,Brent,5,N,N,GRN,The Greens,5954,169,0,96,301,6520,0.3
NSW,104,Barton,29008,TSOUKALAS,Harry,6,N,N,SOL,Online Direct Democracy - (Empowering the People!),843,28,0,14,68,953,1.2
NSW,104,Barton,999,Informal,Informal,999,N,N,,Informal,7241,134,0,34,86,7495,-3.31
NSW,105,Bennelong,28886,HOWISON,Lyndal,1,N,N,ALP,Labor,21666,263,0,46,1569,23544,-4.11
NSW,105,Bennelong,28437,AUGUST,John Peter,2,N,N,PIR,Pirate Party Australia,967,22,0,5,93,1087,1.31
NSW,105,Bennelong,28550,ALICK,Justin,3,N,N,GRN,The Greens,6663,146,0,28,478,7315,0.39
NSW,105,Bennelong,28548,WORSLEY,Julie,4,N,N,CDP,Christian Democratic Party (Fred Nile Group),5021,45,0,8,339,5413,4.11
NSW,105,Bennelong,28133,GORDON,Christopher,5,N,N,TAP,The Arts Party,798,16,0,1,58,873,1.05
NSW,105,Bennelong,28568,ALEXANDER,John,6,N,Y,LP,Liberal,38023,513,0,96,3554,42186,-2.2
NSW,105,Bennelong,28065,MULCARE,Martin,7,N,N,IND,Independent,2366,31,0,2,248,2647,3.19
