StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,101,Canberra,28189,BRODTMANN,Gai,1,N,Y,ALP,Australian Labor Party,65476,0,0,0,2197,67673,-0.09
ACT,101,Canberra,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,48010,0,0,0,2164,50174,0.09
ACT,102,Fenner,28190,LEIGH,Andrew Keith,1,N,Y,ALP,Australian Labor Party,70559,0,0,0,2261,72820,1.39
ACT,102,Fenner,28983,GUNNING,Robert,3,N,N,LP,Liberal,39434,0,0,0,1748,41182,-1.39
NSW,103,Banks,28951,GAMBIAN,Chris,1,N,N,ALP,Labor,36641,1763,0,802,2663,41869,1.17
NSW,103,Banks,28660,COLEMAN,David,4,N,Y,LP,Liberal,38733,1458,0,841,3667,44699,-1.17
NSW,104,Barton,28636,VARVARIS,Nickolas,2,N,Y,LP,Liberal,30444,1135,0,379,1895,33853,-3.82
NSW,104,Barton,28964,BURNEY,Linda,3,N,N,ALP,Labor,42859,1706,0,451,2133,47149,3.82
NSW,105,Bennelong,28886,HOWISON,Lyndal,1,N,N,ALP,Labor,30381,1101,0,74,2250,33806,-2.21
NSW,105,Bennelong,28568,ALEXANDER,John,6,N,Y,LP,Liberal,45123,1349,0,112,4089,50673,2.21
NSW,106,Berowra,28564,LEESER,Julian,1,N,N,LP,Liberal,52178,680,0,188,4558,57604,-2.2
NSW,106,Berowra,28927,ANDREWS,Josh,2,N,N,ALP,Labor,26186,465,0,101,1810,28562,2.2
NSW,107,Blaxland,28931,CLARE,Jason,1,N,Y,ALP,Labor,48005,0,0,0,1648,49653,9.02
NSW,107,Blaxland,28704,FINDLAY,Felicity,4,N,N,LP,Liberal,19909,0,0,0,1108,21017,-9.02
NSW,108,Bradfield,28565,FLETCHER,Paul,3,N,Y,LP,Liberal,54253,940,0,121,4906,60220,0.48
NSW,108,Bradfield,28881,GOMPERTZ,Katie,6,N,N,ALP,Labor,22038,555,0,49,1454,24096,-0.48
NSW,109,Calare,29294,GEE,Andrew,2,N,N,NP,The Nationals,56132,0,0,0,2059,58191,-2.92
NSW,109,Calare,28915,JENNINGS,Jess,7,N,N,ALP,Labor,34376,0,0,0,1213,35589,2.92
